ep,auroc,aupr
"[0, 0]","[0.7372230346171715, 0.7429416154171854]","[0.2717517657356453, 0.274962572574383]"
"[0, 0]","[0.7372230346171715, 0.7429416154171854]","[0.2717517657356453, 0.274962572574383]"
