ep,auroc,aupr
53,0.9595,0.6483
38,0.9742,0.7181
49,0.9824,0.7131
48,0.9639,0.6595
39,0.9691,0.7281
52,0.9644,0.724
56,0.9675,0.7077
52,0.9671,0.6535
45,0.9769,0.7033
39,0.9657,0.6891
mean auc: 0.9691±0.0065, mean aupr: 0.6945±0.0287
mean auc: 0.969±0.007, mean aupr: 0.694±0.029
