ep,auroc,aupr
33,0.9452,0.6343
37,0.9662,0.7148
35,0.9645,0.7129
35,0.9524,0.654
39,0.9599,0.7225
35,0.9542,0.7046
35,0.9524,0.6955
35,0.9542,0.6588
36,0.9709,0.7008
39,0.9606,0.6852
mean auc: 0.9580±0.0074, mean aupr: 0.6883±0.0281
mean auc: 0.958±0.007, mean aupr: 0.688±0.028
