ep,auroc,aupr
44,0.9512,0.6419
37,0.9678,0.7253
55,0.9697,0.7177
55,0.957,0.6572
44,0.9622,0.7276
52,0.9515,0.7219
46,0.956,0.696
35,0.9522,0.6583
36,0.9711,0.706
39,0.9616,0.6826
mean auc: 0.9600±0.0072, mean aupr: 0.6934±0.0301
mean auc: 0.960±0.007, mean aupr: 0.693±0.030
