ep,auroc,aupr
105,0.9684,0.678
109,0.9612,0.555
82,0.9652,0.6301
103,0.9547,0.5822
93,0.9692,0.5988
109,0.954,0.5603
90,0.9573,0.5623
65,0.9378,0.6231
64,0.9497,0.5884
102,0.9761,0.6881
mean auc: 0.9594±0.0105, mean aupr: 0.6066±0.0451
mean auc: 0.959±0.011, mean aupr: 0.607±0.045
