ep,auroc,aupr
19,0.8833,0.5932
18,0.9033,0.5181
19,0.913,0.5493
8,0.8738,0.4785
9,0.907,0.5257
18,0.8874,0.5156
18,0.9058,0.503
19,0.8885,0.5634
18,0.8964,0.5148
18,0.9176,0.6224
mean auc: 0.8976±0.0134, mean aupr: 0.5384±0.0416
mean auc: 0.898±0.013, mean aupr: 0.538±0.042
