ep,auroc,aupr
7,0.8858,0.476
5,0.8756,0.4085
6,0.8713,0.3703
4,0.8845,0.4124
6,0.8552,0.3374
7,0.8781,0.4251
4,0.8702,0.3654
6,0.8915,0.5021
4,0.8757,0.3841
8,0.8745,0.4553
mean auc: 0.8762±0.0095, mean aupr: 0.4137±0.0495
mean auc: 0.876±0.010, mean aupr: 0.414±0.049
