ep,auroc,aupr
26,0.9523,0.545
24,0.9483,0.4953
20,0.9278,0.4193
27,0.9432,0.5292
25,0.9221,0.4092
26,0.9502,0.4632
26,0.9492,0.4881
27,0.9563,0.5608
25,0.9455,0.4987
25,0.9405,0.5172
mean auc: 0.9435±0.0103, mean aupr: 0.4926±0.0475
mean auc: 0.944±0.010, mean aupr: 0.493±0.048
