ep,auroc,aupr
69,0.9501,0.6526
75,0.9424,0.5505
75,0.9555,0.6098
60,0.9348,0.578
72,0.9528,0.5994
65,0.9352,0.5674
64,0.9464,0.5477
65,0.9276,0.6078
64,0.938,0.5633
70,0.9587,0.6737
mean auc: 0.9442±0.0097, mean aupr: 0.5950±0.0402
mean auc: 0.944±0.010, mean aupr: 0.595±0.040
