ep,auroc,aupr
54,0.9512,0.6411
44,0.9414,0.5416
54,0.9539,0.5953
58,0.9338,0.5655
62,0.9532,0.5805
45,0.926,0.552
49,0.9395,0.54
55,0.9296,0.5981
47,0.9391,0.5514
55,0.954,0.6719
mean auc: 0.9422±0.0099, mean aupr: 0.5837±0.0418
mean auc: 0.942±0.010, mean aupr: 0.584±0.042
