ep,auroc,aupr
37,0.9694,0.5627
38,0.9717,0.5053
30,0.9555,0.4368
30,0.9585,0.5425
32,0.9452,0.4243
26,0.9588,0.4727
38,0.9728,0.4972
40,0.973,0.5637
28,0.9628,0.5013
30,0.9637,0.5177
mean auc: 0.9631±0.0085, mean aupr: 0.5024±0.0453
mean auc: 0.963±0.009, mean aupr: 0.502±0.045
