ep,auroc,aupr
26,0.9533,0.5455
28,0.9492,0.4967
24,0.9355,0.4268
27,0.9411,0.5291
25,0.9282,0.4123
26,0.9437,0.4625
25,0.9479,0.4876
27,0.9566,0.5568
28,0.9449,0.4951
30,0.9471,0.5205
mean auc: 0.9448±0.0079, mean aupr: 0.4933±0.0456
mean auc: 0.945±0.008, mean aupr: 0.493±0.046
